codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca
5410006,DGA,dga_web,Vilcuya,1100,-32.8603,-70.4719,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5410007,DGA,dga_web,Los Andes,820,-32.8336,-70.6,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5410008,DGA,dga_web,San Felipe,640,-32.7472,-70.7247,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5411001,DGA,dga_web,Estero Pocuro En El Sifon,1000,-32.9164,-70.5403,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5411002,DGA,dga_web,Estero Pocuro Antes Junta Rio Aconcagua,830,-32.7636,-70.725,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5414001,DGA,dga_web,Rio Putaendo En Resguardo Los Patos,1218,-32.5017,-70.5811,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5414004,DGA,dga_web,Resguardo Los Patos,1220,-32.4989,-70.5789,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5414005,DGA,dga_web,El Tartaro,950,-32.5669,-70.7,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5415001,DGA,dga_web,Estero Quilpue Antes Junta Rio Aconcagua,530,-32.7292,-70.7467,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5415002,DGA,dga_web,Estero Hualtatas En Desembocadura,0,-32.6942,-70.4089,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5415004,DGA,dga_web,Jahuel,1020,-32.6836,-70.6,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5420001,DGA,dga_web,Estero De Los Campos En Las Compuertas,0,-32.7667,-70.8333,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5420002,DGA,dga_web,Estero De Los Campos En Antes Junta Rio Aconcagua,550,-32.8019,-70.9294,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5420004,DGA,dga_web,Rio Aconcagua En Panquehue (Ca),510,-32.75,-70.8333,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5421001,DGA,dga_web,Estero Catemu Antes Junta Rio Aconcagua,510,-32.8167,-71.0,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
