codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
4511002,DGA,dga_web,Rio Grande En Las Ramadas,1380,-31.0117,-70.5811,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4511003,DGA,dga_web,Las Ramadas,1380,-31.0181,-70.5858,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4511004,DGA,dga_web,Cerro Vega Negra,3600,-30.9033,-70.5158,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4512001,DGA,dga_web,Rio Tascadero En Desembocadura,1370,-31.0119,-70.6644,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4512002,DGA,dga_web,Tascadero,1230,-31.0153,-70.6664,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4513001,DGA,dga_web,Rio Grande En Cuyano,870,-30.9242,-70.7731,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4513003,DGA,dga_web,Tulahuen,1020,-30.9669,-70.7639,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4513004,DGA,dga_web,Caren,740,-30.8547,-70.7708,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4514001,DGA,dga_web,Rio Mostazal En Cuestecita,1250,-30.8128,-70.6128,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4515001,DGA,dga_web,Rio Mostazal Antes Junta Rio Tulahuencito,685,-30.8456,-70.7139,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4515002,DGA,dga_web,Rio Mostazal En Caren,700,-30.8422,-70.7694,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4515004,DGA,dga_web,El Maiten,1350,-30.8058,-70.5939,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4515005,DGA,dga_web,Pedregal,880,-30.8539,-70.7078,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4515007,DGA,dga_web,Ramadilla,1250,-30.8933,-70.6511,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4516001,DGA,dga_web,Rio Grande En Coipo,575,-30.7828,-70.8222,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
